,Date,TweetID,Text,BTC Price,User Location,User follower count,UserFollowingCount,User Verified,Quote Status?,AccountCreationDate,Default Profile Theme?,DefaultProfileImage,TotalAccountLikes,Subjectivity,Polarity
7,7/13/2021,1.41497E+18,"The economic truth, where the cracks are now showing, is a hard one to swallow. Morally and physically. Bitcoin gold fed inflation",32655.52,United Kingdom,19,211,FALSE,FALSE,9/20/2017 8:52,TRUE,FALSE,211,0.283630952,-0.022916667
38,7/13/2021,1.41497E+18,"   Tulips are useless. Bitcoin is the hardest money ever created. Slight difference, but I do appreciate the lazy comparison!",32655.52,,29,317,FALSE,FALSE,4/28/2009 22:10,FALSE,FALSE,317,0.455555556,-0.326388889
54,7/13/2021,1.41497E+18,Major Las Vegas Strip Club to Start Accepting Bitcoin via Lightning Network  btc bitcoin cryptocurrency ethereum 仮想通貨 ビットコイン 日経平均 リップル ドル xrp crypto 暗号通貨 ripple dontstopwontstop blockchain,32655.52,United Kingdom,4306,316,FALSE,FALSE,7/11/2017 18:14,TRUE,FALSE,316,0.5,0.0625
57,7/13/2021,1.41497E+18,Mammoth Surge Of Bitcoin Outflows From Crypto Exchanges Signal Fresh Market Push  btc bitcoin cryptocurrency ethereum 仮想通貨 ビットコイン 日経平均 リップル ドル xrp crypto 暗号通貨 ripple dontstopwontstop blockchain,32655.52,United Kingdom,4306,316,FALSE,FALSE,7/11/2017 18:14,TRUE,FALSE,316,0.5,0.3
59,7/13/2021,1.41497E+18,S&amp;P Dow Jones Indices launches new cryptocurrency indexes  btc bitcoin cryptocurrency ethereum 仮想通貨 ビットコイン 日経平均 リップル ドル xrp crypto 暗号通貨 ripple dontstopwontstop blockchain,32655.52,United Kingdom,4306,316,FALSE,FALSE,7/11/2017 18:14,TRUE,FALSE,316,0.454545455,0.136363636
61,7/13/2021,1.41497E+18,Ngl a Little part of my bulltardness wants everything doing another -50% against Bitcoin to buy more with the same cash,32655.52,DEX,1127,664,FALSE,FALSE,1/12/2018 16:31,FALSE,FALSE,664,0.30625,0.128125
66,7/13/2021,1.41497E+18, It's great Airdrop BinanceSmartChain LazyDoge Crypto Bitcoin,32655.52,,71,1083,FALSE,FALSE,7/28/2020 14:51,TRUE,FALSE,1083,0.75,0.8
73,7/13/2021,1.41497E+18,This is a promising project for everyone to join        KUAPE KUCOIN KCC MEME BITCOIN KUAPEFINANCE,32655.52,,19,755,FALSE,FALSE,1/9/2020 4:49,TRUE,FALSE,755,0.5,0.2
83,7/13/2021,1.41497E+18,I swear to god if the Ethiopian govt starts mining bitcoin instead of Electrifying the 80% of Ethiopia that's currently in the dark i'm going to scream ,32655.52,ADD/PDX/EIN,1511,1012,FALSE,TRUE,7/11/2012 10:23,FALSE,FALSE,1012,0.4,-0.075
97,7/13/2021,1.41497E+18," You could invest in bitcoin, it dipped meaning now is the perfect to get in as you will be buying more coins for less if you do so. You don’t have to start off with a full bitcoin and I can teach you how to invest and earn. To learn more, send a dm.",32655.52,United States of America,818,344,FALSE,FALSE,1/12/2010 9:42,TRUE,FALSE,344,0.523333333,0.436666667
