"X","Date","TweetID","Text","BTC.Price","User.Location","User.follower.count","UserFollowingCount","User.Verified","Quote.Status.","AccountCreationDate","Default.Profile.Theme.","DefaultProfileImage","TotalAccountLikes","Subjectivity","Polarity"
6,"07/29/2021",1420866595900039168," holds $1.7 Billion worth of Bitcoin. ",39581.44,"A galaxy far, far away.",220,875,"False","False","2011-05-29 20:44:05","True","False",875,0.1,0.3
17,"07/29/2021",1420866566309175296,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
30,"07/29/2021",1420866527717380096,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
35,"07/29/2021",1420866518577868800," Thank you so much for this awesome Opportunity. I hope this Project grow up quickly and successfully completed. AirdropDetective OpenExhibition Bitcoin",39581.44,"Bangladesh",98,1055,"False","False","2017-01-24 22:18:26","True","False",1055,0.6625,0.570833333333333
37,"07/29/2021",1420866516036190208,"  Hahaha that shit is funny",39581.44,"United States of America",131,191,"False","False","2009-07-14 06:16:40","True","False",191,0.733333333333333,0.0833333333333333
43,"07/29/2021",1420866505739182080,"As the rich have gotten richer, the poor have gotten poorer ... and angrier StephanieRuhle",39581.44,"United States of America",2565,4263,"False","False","2009-05-03 04:09:44","True","False",4263,0.675,-0.0125
46,"07/29/2021",1420866503935610880,"Fast Money’s Brian Kelly Remains Bullish On Bitcoin, Here’s Why ",39581.44,"The Netherlands",197,193,"False","False","2010-07-16 05:01:10","False","False",193,0.6,0.2
52,"07/29/2021",1420866490908164096,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
56,"07/29/2021",1420866485254189056,"Good morning, good evening, good afternoon.Are you all fed up with Bitcoin?I recommend XYM (Symbol).The performance, the speed, the future, the harvest, everything is promising. I hope the world will know more about Symbol.XYM Coinex XEM nem Symbol NEMhub ",39581.44,"",199,221,"False","False","2015-01-22 02:31:19","False","False",221,0.4875,0.466666666666667
60,"07/29/2021",1420866479445082112,"   With a good stock and Bitcoin trading like  you can earn up to $2000 in a weekly  he's a tested and  trusted Trader. DM him now and get busy with trading",39581.44,"United States of America",33,222,"False","False","2017-06-10 10:22:08","True","False",222,0.45,0.4
61,"07/29/2021",1420866476395933696,"What are the main factors affecting the price of Bitcoin ? | Education Article via  ",39581.44,"",598,1041,"False","False","2008-04-19 08:44:29","False","False",1041,0.333333333333333,0.166666666666667
64,"07/29/2021",1420866462252773376,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
78,"07/29/2021",1420866425523216384,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
87,"07/29/2021",1420866400290328576,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X ",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
91,"07/29/2021",1420866391280914432,"   It LN which is payment channels which was part of plan in bitcoin from inception. Strike is full KYC. Binance is not. Nothing to do with the other.Besides El Salvador have it as their currency so is the opposite of stopping it, not that they could as it’s decentralised!",39581.44,"",88,307,"False","False","2018-12-14 08:07:24","True","False",307,0.275,0.175
95,"07/29/2021",1420866388965610496,"After spending weeks ranging within $30k, the bulls&amp;8217; edge in this month&amp;8217;s $1.7 billion options expiry was strengthened by Bitcoin&amp;8217;s climb...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.5,0.5
96,"07/29/2021",1420866388852359168,"Following the announcement from Greenidge Generation Holdings that detailed the company would be promoting a carbon-neutral stance, and the firm&amp;8217;s re...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.45,0.3
97,"07/29/2021",1420866388844027904,"Bitcoin has made some major gains as the end of July nears. In fact, the king coin closed in the green for the eighth day in a row. Such growth, however, m...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.38,0.0525
98,"07/29/2021",1420866388785311744,"This is simply the latest development that shows the lack of understanding amongst policy makers....Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.585714285714286,0.333333333333333
99,"07/29/2021",1420866388697260032,"U.S. Senator Elizabeth Warren is facing a rife lash-back from Bitcoin supporters in the wake of her unwelcomed comments over cryptocurrencies during Tuesda...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.5,0.5
100,"07/29/2021",1420866388692963328,"Just yesterday, Live Bitcoin News reported that Amazon – arguably the biggest retailer in the world – was going to begin accepting cryptocurrencies by the ...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.5,0.318181818181818
101,"07/29/2021",1420866388684677120,"Older Americans are investing in cryptocurrency through self-directed retirement accounts due to a desire to catch up on retirement funds, inflation fears ...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.402777777777778,0.180555555555556
102,"07/29/2021",1420866388630118400,"In this episode of the “Bitcoin Magazine Podcast,” Eric Yakes describes how bitcoin is taking over the financial world....Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.25,0.25
104,"07/29/2021",1420866385765412864,"In this episode of the “Bitcoin Magazine Podcast,” Eric Yakes describes how bitcoin is taking over the financial world. Watch this episode on YouTube. Li...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.25,0.25
105,"07/29/2021",1420866385719201792,"Longtime CEO Michael Saylor said MicroStrategy intends to continue buying more bitcoin despite its recent price struggles. Business analytics firm MicroStr...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.4125,0.2
106,"07/29/2021",1420866385635422208,"The product offering from IRA provider Choice and Compass Mining allows Bitcoin miners to mine directly to their individual retirement accounts ""without ev...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.433333333333333,0.2
107,"07/29/2021",1420866385585049600,"After spending weeks ranging within $30k, the bulls’ edge in this month’s $1.7 billion options expiry was strengthened by Bitcoin’s climb past $40,000.A ...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.375,0.125
108,"07/29/2021",1.420866385585e+18,"This is simply the latest development that shows the lack of understanding amongst policy makers. The Senate procedural vote held late Wednesday night was ...Read more: ",39581.44,"United States of America",5759,4650,"False","False","2018-10-17 11:18:24","False","False",4650,0.589285714285714,0.175
113,"07/29/2021",1420866368451317760," This is cool Lepifany is working hand to hand with binance to make the crypto world the new age. Thanks to all the team. Lepifany BSC BinanceSmartChain Binance PancakeSwap DeFi Bitcoin cryptocurrency blockchain",39581.44,"",1783,2915,"False","False","2020-10-28 12:57:05","True","False",2915,0.434848484848485,0.228787878787879
118,"07/29/2021",1420866356061278208,"NasaDogeToken nasadoge nasadogetothemoon   ElonMusk Doge DogeCoin BabyDoge BabyDogecoin Daddydoge Bitcoin  BTC  Binance  NASA DOGE NEW ATH LOADİNG 50X",39581.44,"Gaziantep, Türkiye",57,282,"False","False","2020-04-15 17:48:34","True","False",282,0.454545454545455,0.136363636363636
119,"07/29/2021",1420866352672301056," For all those who are new to this working from home Bitcoin trading options Here's a little tip:Get a trusted Bitcoin expert and stick to him Invest and play at similar times each day.Because :In times of chaos, your investment is your anchor to success️",39581.44,"South Africa",540,615,"False","False","2020-08-04 18:13:37","True","False",615,0.451515151515151,-0.0170454545454545
123,"07/29/2021",1420866336159375360,"   For all those who are new to this working from home Bitcoin trading options Here's a little tip:Get a trusted Bitcoin expert and stick to him Invest and play at similar times each day.Because :In times of chaos, your investment is your anchor to success️",39581.44,"South Africa",540,615,"False","False","2020-08-04 18:13:37","True","False",615,0.451515151515151,-0.0170454545454545
126,"07/29/2021",1420866330304126976,"     It's Bitcoin with ""better"" incentives.Saylor / Mt Gox / Satoshi can dump their bags and crash BTC price any time.If they were incentivized to lock their  for 15 years (for interest in btc), and in return, the rest of us would know that they can't dump.HEX=Proof of HODL",39581.44,"Earth",160,597,"False","False","2009-09-02 23:42:45","True","False",597,0.5,0.5
130,"07/29/2021",1420866320732655616," LIVE Michael Saylor: Microstrategy Q2 Earnings Results, HODL's Over 10...  vía  bitcoin ",39581.44,"Santiago, Metropolitana de Santiago",350,144,"False","False","2011-12-24 20:09:02","False","False",144,0.5,0.136363636363636
131,"07/29/2021",1420866316160937984,"  For all those who are new to this working from home Bitcoin trading options Here's a little tip:Get a trusted Bitcoin expert and stick to him Invest and play at similar times each day.Because :In times of chaos, your investment is your anchor to success️",39581.44,"South Africa",540,615,"False","False","2020-08-04 18:13:37","True","False",615,0.451515151515151,-0.0170454545454545
132,"07/29/2021",1420866311287095296,"  I agree, that's why discussions and fair criticism like this are needed. Talking with facts and data. But when you present the facts to the other party and they continue on avoiding reality, like bitcoin maxis do, then you can't do anything other than just keep pointing the facts",39581.44,"Universe",10203,602,"False","False","2010-06-21 08:35:53","False","False",602,0.4125,0.1125
139,"07/29/2021",1420866290944708608," For all those who are new to this working from home Bitcoin trading options Here's a little tip:Get a trusted Bitcoin expert and stick to him Invest and play at similar times each day.Because :In times of chaos, your investment is your anchor to success️",39581.44,"South Africa",540,615,"False","False","2020-08-04 18:13:37","True","False",615,0.451515151515151,-0.0170454545454545
146,"07/29/2021",1420866277992804352,"Bitcoin has faced a scalability issue, meaning there are challenges when the network tries to process more transactions simultaneously.               ^lightningnetwork",39581.44,"Global",77506,56157,"False","False","2015-05-02 16:54:25","False","False",56157,0.45,0.2
159,"07/29/2021",1420866244539043840," This is some of the new math.Women = Carbon Neutral BitcoinI want all the women",39581.44,"",1109,1465,"False","False","2010-03-01 00:41:07","False","False",1465,0.454545454545455,0.136363636363636
220,"07/29/2021",1420866067035877376," Thank you so much for this awesome Opportunity. I hope this Project grow up quickly and successfully completed.AirdropDetective OpenExhibition Bitcoin",39581.44,"Bangladesh",98,1055,"False","False","2017-01-24 22:18:26","True","False",1055,0.6625,0.570833333333333
234,"07/29/2021",1420866044999049216," Funny dream  you can send someone 1 bitcoin?  never i think.",39581.44,"",89,1197,"False","False","2017-06-09 10:53:58","False","False",1197,1,0.25
235,"07/29/2021",1420866044864913408,"Today, largest outflow of BTC from exchanges has been recorded since 2016. As with ETH, investors are withdrawing their BTC from exchanges MASSIVELY! This is a BULLISH signal for Bitcoin. Binance's new limits on withdrawals for clients who haven't KYC isn't the only catalyst!",39581.44,"",6175,635,"False","False","2014-03-07 12:20:09","False","False",635,0.818181818181818,0.0454545454545454
259,"07/29/2021",1420866000988352512,"ICYMI love earnmoney money affiliate affiliatemarketing affiliatemarketing Check my website makemoney earnmoney affiliate referral cashback crypto shopping travel business bitcoin dogecoin ",39581.44,"United States of America",67838,7015,"False","False","2012-06-25 04:38:20","False","False",7015,0.6,0.5
267,"07/29/2021",1420865990888333312,"SEC officially invites Texas, OU to join conference   ️  Bitcoin Sportsbook ",39581.44,"",659,825,"False","False","2016-12-16 21:14:48","False","False",825,0.6,-0.1
283,"07/29/2021",1420865944323182592,"This is going to destroy all lungs ",39581.44,"United States of America",43073,1877,"False","False","2009-01-11 18:01:37","False","False",1877,0,-0.2
289,"07/29/2021",1420865937125691392," With a good stock and Bitcoin trading like  you can earn up to $2000 in a weekly  he's a tested and  trusted Trader. DM him now and get busy with trading",39581.44,"United States of America",33,222,"False","False","2017-06-10 10:22:08","True","False",222,0.45,0.4
298,"07/29/2021",1420865905915940864," With a good stock and Bitcoin trading like  you can earn up to $2000 in a weekly  he's a tested and  trusted Trader. DM him now and get busy with trading",39581.44,"United States of America",33,222,"False","False","2017-06-10 10:22:08","True","False",222,0.45,0.4
305,"07/29/2021",1420865880502591488,"  Will be worth one Bitcoin or should I say live itself ",39581.44,"Australia",33,140,"False","False","2016-02-08 14:28:44","True","False",140,0.3,0.218181818181818
307,"07/29/2021",1420865872055308288,"  With a good stock and Bitcoin trading like  you can earn up to $2000 in a weekly  he's a tested and  trusted Trader. DM him now and get busy with trading",39581.44,"United States of America",33,222,"False","False","2017-06-10 10:22:08","True","False",222,0.45,0.4
308,"07/29/2021",1420865871875035136," LIVE Michael Saylor: Microstrategy Q2 Earnings Results, HODL's Over 10...  via  BITCOIN",39581.44,"THIS HILL. In The Citadel",2462,4991,"False","False","2011-07-25 11:39:04","False","False",4991,0.5,0.136363636363636
320,"07/29/2021",1420865838354026496," With a good stock and Bitcoin trading like  you can earn up to $2000 in a weekly  he's a tested and  trusted Trader. DM him now and get busy with trading",39581.44,"United States of America",33,222,"False","False","2017-06-10 10:22:08","True","False",222,0.45,0.4
323,"07/29/2021",1420865834650677248,"I've gotten angry over a lot of things in the past. But some bitcoin enthusiast getting concerned about the environmental impact of organic Bananas during a works top up course. Feels like one of the most rational reasons.",39581.44,"United Kingdom",84,125,"False","False","2011-06-13 17:09:58","False","False",125,0.5625,0.0625
